"scrape_datetime","data_url","as_of_date","model","lead_time"
"2024-10-10 13:08:03.773052+00:00","https://www.carwow.de/fiat/e-doblo-cargo","2024/10/08","Fiat E-Doblo Cargo","9-10 Monate"
"2024-10-10 13:08:03.773052+00:00","https://www.carwow.de/fiat/e-ducato-kastenwagen","2024/10/08","Fiat E-Ducato Kastenwagen","6-8 Monate"
"2024-10-10 13:08:03.773052+00:00","https://www.carwow.de/fiat/e-ducato-kombi","2024/10/08","Fiat E-Ducato Kombi","5-6 Monate"
"2024-10-10 13:08:03.773052+00:00","https://www.carwow.de/fiat/e-scudo-kastenwagen","2024/10/08","Fiat E-Scudo Kastenwagen","7-8 Monate"
"2024-10-10 13:08:03.773052+00:00","https://www.carwow.de/fiat/e-scudo-kombi","2024/10/08","Fiat E-Scudo Kombi","7-8 Monate"
"2024-10-10 13:08:03.773052+00:00","https://www.carwow.de/fiat/e-ulysse","2024/10/08","Fiat E-Ulysse","6-7 Monate"
"2024-10-10 13:08:03.773052+00:00","https://www.carwow.de/ford/e-transit-kastenwagen","2024/10/08","Ford E-Transit Kastenwagen","4-5 Monate"
"2024-10-10 13:08:03.773052+00:00","https://www.carwow.de/ford/e-transit-kastenwagen","2024/10/08","Ford E-Tourneo Custom","8 Monate"
"2024-10-10 13:08:03.773052+00:00","https://www.carwow.de/ford/mustang-mach-e","2024/10/08","Ford Mustang Mach-E","2 Monate"
"2024-10-10 13:08:03.773052+00:00","https://www.carwow.de/genesis/gv60","2024/10/08","Genesis GV60","5-6 Monate"
"2024-10-10 13:08:03.773052+00:00","https://www.carwow.de/genesis/electrified-gv70","2024/10/08","Genesis Electrified GV70","Vorübergehender Bestellstopp"
"2024-10-10 13:08:03.773052+00:00","https://www.carwow.de/genesis/electrified-g80","2024/10/08","Genesis Electrified G80","Vorübergehender Bestellstopp"
"2024-10-10 13:08:03.773052+00:00","https://www.carwow.de/ora/funky-cat","2024/10/08","GWM Ora 03","4-7 Monate"
"2024-10-10 13:08:03.773052+00:00","https://www.carwow.de/wey/wey-03","2024/10/08","GWM WEY 03","2-5 Monate"
"2024-10-10 13:08:03.773052+00:00","https://www.carwow.de/wey/wey-05","2024/10/08","GWM WEY 05","5-6 Monate"
"2024-10-10 13:08:03.773052+00:00","https://www.carwow.de/honda/honda-e","2024/10/08","Honda e","Vorübergehender Bestellstopp"
